OID_,CID,temp09,temp19,temp09c
572,1,177,17.2099991,17.7000008
573,1,186,17.2000008,18.6000004
574,1,174,17.2299995,17.3999996
575,1,176,16.9400005,17.6000004
576,1,180,25.2399998,18.0000000
577,1,176,16.6299992,17.6000004
578,1,175,16.9300003,17.5000000
579,1,176,17.5300007,17.6000004
580,1,177,24.1399994,17.7000008
581,1,175,18.8099995,17.5000000
582,1,178,26.9799995,17.7999992
583,1,176,26.0699997,17.6000004
584,1,176,17.0599995,17.6000004
585,1,177,18.0400009,17.7000008
586,1,186,17.5000000,18.6000004
587,1,179,20.3299999,17.8999996
588,1,178,17.3600006,17.7999992
589,1,177,17.0200005,17.7000008
590,1,268,17.2500000,26.7999992
591,1,179,22.3899994,17.8999996
592,1,178,17.2099991,17.7999992
593,1,177,17.3299999,17.7000008
594,1,176,16.8099995,17.6000004
595,1,177,25.5699997,17.7000008
596,1,177,17.0499992,17.7000008
597,1,176,21.3099995,17.6000004
598,1,177,17.8899994,17.7000008
599,1,175,16.7000008,17.5000000
600,1,182,17.2099991,18.2000008
601,1,178,17.5200005,17.7999992
602,1,175,20.8199997,17.5000000
603,1,175,18.4599991,17.5000000
604,1,175,19.0400009,17.5000000
605,1,175,16.8999996,17.5000000
606,1,176,16.8400002,17.6000004
607,1,175,16.9300003,17.5000000
608,1,174,16.6299992,17.3999996
609,1,178,17.6200008,17.7999992
610,1,175,21.3799992,17.5000000
611,1,179,17.0400009,17.8999996
612,1,175,18.1100006,17.5000000
613,1,173,18.1800003,17.2999992
614,1,177,17.9599991,17.7000008
615,1,175,24.4699993,17.5000000
616,1,178,17.9899998,17.7999992
617,1,178,17.8799992,17.7999992
618,1,180,18.1200008,18.0000000
619,1,177,17.1299992,17.7000008
620,1,176,17.2199993,17.6000004
621,1,175,16.8299999,17.5000000
622,1,192,16.7900009,19.2000008
623,1,176,19.2600002,17.6000004
624,1,176,20.4699993,17.6000004
625,1,176,19.9599991,17.6000004
626,1,178,27.5599995,17.7999992
627,1,174,16.6399994,17.3999996
628,1,178,16.8400002,17.7999992
629,1,180,17.3999996,18.0000000
630,1,175,18.3500004,17.5000000
631,1,175,16.4500008,17.5000000
632,1,175,17.4099998,17.5000000
633,1,185,19.7199993,18.5000000
634,1,177,20.2800007,17.7000008
635,1,174,19.4200001,17.3999996
636,1,175,19.8099995,17.5000000
637,1,178,16.7999992,17.7999992
638,1,177,27.7900009,17.7000008
639,1,178,17.3500004,17.7999992
640,1,176,18.4099998,17.6000004
641,1,177,18.2900009,17.7000008
642,1,177,20.0799999,17.7000008
643,1,177,17.0300007,17.7000008
644,1,176,16.7900009,17.6000004
645,1,175,16.5699997,17.5000000
646,1,182,19.5599995,18.2000008
647,1,177,17.6200008,17.7000008
648,1,189,17.5200005,18.8999996
649,1,176,17.3600006,17.6000004
650,1,175,19.3799992,17.5000000
651,1,175,16.7099991,17.5000000
652,1,178,24.8700008,17.7999992
653,1,202,17.9599991,20.2000008
654,1,174,16.7099991,17.3999996
655,1,177,17.8099995,17.7000008
656,1,176,20.4300003,17.6000004
657,1,176,18.3799992,17.6000004
658,1,174,16.6299992,17.3999996
659,1,175,16.6200008,17.5000000
660,1,180,24.4099998,18.0000000
661,1,177,26.6399994,17.7000008
662,1,175,16.7099991,17.5000000
663,1,175,17.4899998,17.5000000
664,1,174,20.8799992,17.3999996
665,1,180,22.5100002,18.0000000
666,1,176,22.0300007,17.6000004
667,1,176,16.6100006,17.6000004
668,1,175,16.8799992,17.5000000
669,1,175,17.2700005,17.5000000
670,1,177,17.8199997,17.7000008
671,1,177,18.9200001,17.7000008
672,1,175,17.6200008,17.5000000
673,1,175,17.2299995,17.5000000
674,1,175,16.9500008,17.5000000
675,1,223,27.6000004,22.2999992
676,1,175,18.5200005,17.5000000
677,1,178,17.9599991,17.7999992
678,1,174,17.7900009,17.3999996
679,1,178,17.3199997,17.7999992
680,1,175,24.8899994,17.5000000
681,1,177,17.3899994,17.7000008
682,1,175,16.9099998,17.5000000
683,1,175,21.8199997,17.5000000
684,1,176,17.1000004,17.6000004
685,1,184,17.6399994,18.3999996
686,1,174,16.9500008,17.3999996
687,1,176,17.2000008,17.6000004
688,1,176,17.3999996,17.6000004
689,1,175,16.5900002,17.5000000
690,1,176,16.5799999,17.6000004
691,1,177,16.7000008,17.7000008
692,1,175,17.6399994,17.5000000
693,1,175,17.2299995,17.5000000
694,1,174,16.8700008,17.3999996
695,1,174,16.8199997,17.3999996
696,1,173,17.5499992,17.2999992
697,1,174,19.0100002,17.3999996
698,1,176,16.9699993,17.6000004
699,1,174,19.4099998,17.3999996
700,1,173,17.5599995,17.2999992
701,1,176,17.3700008,17.6000004
702,1,175,16.8700008,17.5000000
703,1,177,17.0300007,17.7000008
704,1,174,19.0200005,17.3999996
705,1,174,16.6100006,17.3999996
706,1,174,16.8700008,17.3999996
707,1,174,18.0699997,17.3999996
708,1,173,18.8500004,17.2999992
709,1,176,17.1499996,17.6000004
710,1,174,16.8299999,17.3999996
711,1,174,17.2199993,17.3999996
712,1,173,17.6399994,17.2999992
713,1,175,16.9799995,17.5000000
714,1,174,17.8199997,17.3999996
715,1,175,16.9899998,17.5000000
716,1,175,18.6299992,17.5000000
717,1,174,16.9599991,17.3999996
718,1,174,17.1200008,17.3999996
719,1,174,17.5100002,17.3999996
720,1,174,17.1100006,17.3999996
721,1,175,16.8199997,17.5000000
722,1,200,19.2800007,20.0000000
723,1,176,17.0300007,17.6000004
724,1,179,21.1399994,17.8999996
725,1,174,18.3400002,17.3999996
726,1,175,16.8299999,17.5000000
727,1,183,18.9400005,18.2999992
728,1,173,18.2500000,17.2999992
729,1,175,17.4099998,17.5000000
730,1,175,17.3700008,17.5000000
731,1,173,21.0900002,17.2999992
732,1,181,18.0799999,18.1000004
733,1,174,18.4400005,17.3999996
734,1,174,21.2900009,17.3999996
735,1,174,17.0499992,17.3999996
736,1,174,17.1599998,17.3999996
737,1,178,17.2099991,17.7999992
738,1,174,19.5300007,17.3999996
739,1,175,16.7999992,17.5000000
740,1,182,19.7099991,18.2000008
741,1,175,23.0799999,17.5000000
742,1,174,18.4300003,17.3999996
743,1,174,21.0400009,17.3999996
744,1,174,22.0100002,17.3999996
745,1,174,16.7099991,17.3999996
746,1,176,17.6200008,17.6000004
747,1,175,25.4300003,17.5000000
748,1,174,16.7700005,17.3999996
749,1,178,17.2900009,17.7999992
750,1,174,16.8400002,17.3999996
751,1,174,17.3899994,17.3999996
752,1,175,16.7800007,17.5000000
753,1,173,20.3099995,17.2999992
754,1,174,17.1299992,17.3999996
755,1,174,18.7600002,17.3999996
756,1,175,17.0400009,17.5000000
757,1,176,17.1599998,17.6000004
758,1,174,16.8999996,17.3999996
759,1,175,17.1000004,17.5000000
760,1,174,18.6200008,17.3999996
761,1,174,18.2099991,17.3999996
762,1,174,18.1100006,17.3999996
763,1,179,22.1100006,17.8999996
764,1,173,17.1499996,17.2999992
765,1,177,20.7700005,17.7000008
766,1,175,16.8400002,17.5000000
767,1,174,18.0900002,17.3999996
768,1,175,17.3999996,17.5000000
769,1,174,16.9300003,17.3999996
