point_id,year,dist_m,C_2009,restored,fire,temp_at_release,discharge,canopy_cov,air_temp_C
89,2021,,19.3089619,1,1,15.3,390,0.062,27.2
90,2021,,19.10606,1,1,15.3,390,0.062,27.2
91,2021,,19.1613979,1,1,15.3,390,0.062,27.2
92,2021,,19.050724,1,1,15.3,390,0.062,27.2
93,2021,,19.050724,1,1,15.3,390,0.062,27.2
94,2021,,18.9031601,1,1,15.3,390,0.062,27.2
95,2021,,18.8201561,1,1,15.3,390,0.062,27.2
96,2021,,18.8847141,1,1,15.3,390,0.062,27.2
97,2021,,19.0046101,1,1,15.3,390,0.062,27.2
98,2021,,18.912384,1,1,15.3,390,0.062,27.2
99,2021,,18.96772,1,1,15.3,390,0.062,27.2
100,2021,,19.2167339,1,1,15.3,390,0.062,27.2
