OID_,dist_m,POINT_X,POINT_Y,tir_cs,dist_up,tir_cor_adj_filt,year,restored,fire,temp_at_release,discharge,canopy_cov,air_temp_C
52,112,557359.956000000238419,4889659.707499999552965,-0.9817824,984,17.8148746,2019,1,0,14.15,826,0.311,28.9
53,114,557357.994800000451505,4889659.315300000831485,-1.0357497,982,17.7410927,2019,1,0,14.15,826,0.311,28.9
54,116,557356.095499999821186,4889658.720499999821186,-0.8451101,980,17.9901085,2019,1,0,14.15,826,0.311,28.9
55,118,557354.249300000257790,4889657.951300000771880,-0.9360917,978,17.8794346,2019,1,0,14.15,826,0.311,28.9
56,120,557352.403199999593198,4889657.182000000029802,-0.7519251,976,18.1007805,2019,1,0,14.15,826,0.311,28.9
57,122,557350.427000000141561,4889656.967700000852346,-0.6642824,974,18.2206764,2019,1,0,14.15,826,0.311,28.9
58,126,557346.435600000433624,4889656.706100000068545,-0.0599555,970,19.050724,2019,1,0,14.15,826,0.311,28.9
59,128,557344.439899999648333,4889656.575300000607967,-0.6788433,968,18.2022305,2019,1,0,14.15,826,0.311,28.9
60,130,557342.721199999563396,4889655.701400000602007,-0.7134448,966,18.1468945,2019,1,0,14.15,826,0.311,28.9
61,134,557339.532800000160933,4889653.286000000312924,-0.5916944,962,18.3129044,2019,1,0,14.15,826,0.311,28.9
62,136,557337.938599999994040,4889652.078299999237061,-0.7227763,960,18.1468945,2019,1,0,14.15,826,0.311,28.9
63,138,557336.344499999657273,4889650.870600000023842,-0.8279513,958,18.0177746,2019,1,0,14.15,826,0.311,28.9
64,140,557334.602400000207126,4889650.102900000289083,-0.9640664,956,17.8333206,2019,1,0,14.15,826,0.311,28.9
65,142,557332.602400000207126,4889650.102900000289083,-0.9282421,954,17.8794346,2019,1,0,14.15,826,0.311,28.9
66,144,557330.602400000207126,4889650.102900000289083,-0.9641378,952,17.8333206,2019,1,0,14.15,826,0.311,28.9
67,146,557328.626199999824166,4889649.897500000894070,-0.8696814,950,17.9439926,2019,1,0,14.15,826,0.311,28.9
